"Black Association for Student Expression,UW (UW BASE)",cultural
"Breakers,UW",creative-arts-dance-and-music
"Buddha's Light Community Club, UW",religious-and-spiritual
"Chess Club, UW",games-recreational-and-social
"Chinese Christian Fellowship, UW",religious-and-spiritual
"Chinese Students Association (CSA), UW",cultural
"Concert Band, UW",creative-arts-dance-and-music
"Cooking Club, UW",games-recreational-and-social
"Culture and Language Exchange Club, UW",charitable-community-service-international-development
"Culture and Language Exchange Club, UW",cultural
"Debate Society, UW (Debating Association)",academic
"Debate Society, UW (Debating Association)",political-and-social-awareness
"DJ Club, UW",creative-arts-dance-and-music
"Euchre Club, UW",games-recreational-and-social
"Filipino Students' Association, UW",cultural
"Films, UW (Former Films Creator Club)",creative-arts-dance-and-music
"Films, UW (Former Films Creator Club)",games-recreational-and-social
"Films, UW (Former Films Creator Club)",media-publications-and-web-development
"Finance Association (WIREX/Capital Markets), UW",business-and-entrepreneurial
"Hip Hop, UW",creative-arts-dance-and-music
"Hip Hop, UW",games-recreational-and-social
"Improv Club, UW",games-recreational-and-social
"Indian Cultural Association, UW",cultural
"Marketing Association, UW",business-and-entrepreneurial
"Metal KLVB, UW",games-recreational-and-social
"Model United Nations, UW",academic
"osu! Club, UW",games-recreational-and-social
"Photography Club, UW",games-recreational-and-social
"Pre-Optometry Club, UW (UWPREOPT)",academic
"Pre-Pharmacy, UW",academic
"Rubik's Cube Club (formerly twisty puzzles), UW",games-recreational-and-social
"Smash, UW",games-recreational-and-social
"Students For Life, UW (UWSFL)",games-recreational-and-social
"Universal Finance Organization, UW",academic
"Universal Finance Organization, UW",business-and-entrepreneurial
"Visual Arts Club, UW",creative-arts-dance-and-music
"Visual Arts Club, UW",games-recreational-and-social
"Women in Science, Technology, Engineering, and Mathematics (WiSTEM)",academic
"Women in Science, Technology, Engineering, and Mathematics (WiSTEM)",games-recreational-and-social
"Women in Science, Technology, Engineering, and Mathematics (WiSTEM)",political-and-social-awareness
"Young Liberals, UW",political-and-social-awareness
A Cappella Club,creative-arts-dance-and-music
ACE - A Cappella Affiliate,creative-arts-dance-and-music
African Student Association (ASA),cultural
AfroXDance Club,creative-arts-dance-and-music
AfroXDance Club,cultural
AfroXDance Club,games-recreational-and-social
Ahmadiyya Muslim Students' Association (AMSA),religious-and-spiritual
Animal Rights Society,charitable-community-service-international-development
Animusic Ensembles,creative-arts-dance-and-music
Ascend Canada Waterloo Chapter,academic
