,club,categories
0,Ascend Canada Waterloo Chapter,"academic,business-and-entrepreneurial,cultural"
1,Association of Korean Canadian Scientists and Engineers,academic
2,Aviation Society,"academic,business-and-entrepreneurial"
3,Beyond Ideas Club,"academic,business-and-entrepreneurial,charitable-community-service-international-development,cultural,environmental-and-sustainability,games-recreational-and-social,health-promotion,media-publications-and-web-development,political-and-social-awareness,religious-and-spiritual"
4,Black Medical Leaders of Tomorrow,"academic,health-promotion,political-and-social-awareness"
5,Contact Lens Interest Club (CLIC),"academic,health-promotion"
6,"Debate Society, UW (Debating Association)","academic,political-and-social-awareness"
7,Geriatric Pharmacy Club,"academic,health-promotion"
8,Greek Council (formerly FSA),"academic,charitable-community-service-international-development,cultural,games-recreational-and-social,political-and-social-awareness"
9,Impact Alliance,"academic,charitable-community-service-international-development,environmental-and-sustainability,media-publications-and-web-development"
10,Jamnetwork,"academic,creative-arts-dance-and-music,games-recreational-and-social"
11,Journal for Undergraduate Health Research (JUHR),"academic,environmental-and-sustainability,health-promotion,media-publications-and-web-development"
12,Low Vision Interest Group,"academic,health-promotion"
13,"Model United Nations, UW",academic
14,oSTEM @ UWaterloo,"academic,political-and-social-awareness"
15,"Pre-Optometry Club, UW (UWPREOPT)",academic
16,"Pre-Pharmacy, UW",academic
17,Tech+ UW,"academic,business-and-entrepreneurial,charitable-community-service-international-development,cultural,media-publications-and-web-development"
18,The Women's Network (TWN),"academic,business-and-entrepreneurial,games-recreational-and-social"
19,United for Literacy – University of Waterloo,"academic,charitable-community-service-international-development"
20,"Universal Finance Organization, UW","academic,business-and-entrepreneurial"
21,University of Waterloo Canadian Association on Gerontology Student Connection (UWCAG),"academic,charitable-community-service-international-development,health-promotion"
22,University of Waterloo Energy Network,"academic,environmental-and-sustainability"
23,University of Waterloo Korean Students’ Association,"academic,cultural,games-recreational-and-social,media-publications-and-web-development"
24,University of Waterloo Moot Court,academic
25,UW ACE Chapter,"academic,business-and-entrepreneurial"
26,UW ALPHA Education,"academic,cultural,political-and-social-awareness"
27,UW Bioethics Society,"academic,health-promotion,political-and-social-awareness"
28,UW Blockchain Club,"academic,business-and-entrepreneurial,media-publications-and-web-development,political-and-social-awareness"
29,UW Canadian Association for Global Health (UW CAGH),"academic,charitable-community-service-international-development,environmental-and-sustainability,health-promotion,political-and-social-awareness"
